id;promo_name;description;start_date;end_date;sale
1;Strategist SDD;functionalities;2020-01-15T13:48:40;2020-01-14T21:57:58;26847
2;Bedfordshire;Maryland Configuration;2020-01-15T01:41:19;2020-01-14T20:04:22;57006
3;Intelligent;Zambian Kwacha intuitive;2020-01-15T12:17:35;2020-01-15T05:57:12;29529
4;portal calculating Metal;real-time discrete redundant;2020-01-14T22:57:02;2020-01-15T12:14:39;86707
5;Senior Avon;Auto Loan Account olive;2020-01-15T16:41:26;2020-01-15T01:32:46;39678
6;Unbranded Fresh Pants Tools California;North Dakota Garden;2020-01-15T07:13:08;2020-01-15T14:40:19;54264
7;stable Utah Computers;Licensed Plastic Pants;2020-01-15T05:30:12;2020-01-15T15:20:37;32665
8;synthesizing composite;Investment Account Refined Intelligent Granite Shirt;2020-01-15T05:25:05;2020-01-15T01:36:18;63742
9;panel;Analyst card Licensed Cotton Ball;2020-01-15T07:59:19;2020-01-15T07:51:28;74404
10;Ameliorated;Brand;2020-01-14T22:19:47;2020-01-15T08:06:49;69597
